"","data.INSTNM","data.TUITFTE","value"
"303","Columbia College","705",0.242647058823529
"304","Columbia College-Hollywood","15772",0.0553159096675971
"305","El Camino College-Compton Center","403",0.180622009569378
"306","Western Beauty Institute","318",0.147368421052632
"307","Contra Costa College","488",0.0272657450076805
"308","Cosumnes River College","480",0.255985267034991
"309","Crafton Hills College","471",0.093382807668522
"310","Cuesta College","736",0.104432301153613
"311","Cuyamaca College","755",2.81395348837209
"312","Marinello Schools of Beauty","5339",0.0848126232741617
"313","Cypress College","744",0.14167916041979
"314","De Anza College","1811",0.134656272147413
"315","Marinello Schools of Beauty-Hemet","6484",0.105714285714286
"316","International School of Beauty Inc","9348",0.519157088122605
"317","Dell'Arte International School of Physical Theatre","7414",0.210383572258814
"318","College of the Desert","746",0.0917686318131257
"319","Design Institute of San Diego","16468",0.0542758803283029
"320","DeVry University-California","12150",0.110550954267195
"321","Diablo Valley College","1229",0.209905660377358
"322","Dominican University of California","19163",0.0787774429616875
"323","Dominican School of Philosophy & Theology","12014",0.104102760736196
"324","East Los Angeles College","464",0.124302788844622
"325","Marinello Schools of Beauty-Santa Clara","6505",0.476315789473684
"326","San Diego Continuing Education","NULL",0.120345744680851
"327","El Camino Community College District","820",0.180622009569378
"328","Elegance International","10640",0.0390153274500697
"329","Marinello Schools of Beauty","4405",0.0716479017400205
"330","Marinello Schools of Beauty-Burbank","6946",0.101351351351351
"331","Marinello Schools of Beauty-Moreno Valley","4451",0.0451488952929875
"332","Emperor's College of Traditional Oriental Medicine","26337",0.104082806210466
"333","Empire College","5403",0.0829291949563531
"334","Evergreen Valley College","368",0.241428571428571
"335","Fashion Institute of Design & Merchandising-Los Angeles","21878",0.0502536844648466
"336","Fashion Careers College","24011",0.0554739162380603
"337","Fashion Institute of Design & Merchandising-San Francisco","23574",0.0502536844648466
"338","Fashion Institute of Design & Merchandising-Orange County","26695",0.0502536844648466
"339","Feather River Community College District","599",0.0523221634332745
"340","Federico Beauty Institute","6407",0.035512777962164
"341","Fielding Graduate University","16591",0.103891125167721
"342","Five Branches University","12243",0.202008928571429
"343","Hair California Beauty Academy","75",0.442448979591837
"344","Foothill College","1655",0.275113122171946
"345","Franciscan School of Theology","9697",0.103911042944785
"346","Fredrick and Charles Beauty College","4959",1.74038461538462
"347","Fresno City College","402",0.175
"348","Fresno Pacific University","13820",0.0682372055239643
"349","Fuller Theological Seminary in California","11207",0.129966491144088
"350","Fullerton College","733",0.0930232558139535
"351","Galen College of Medical and Dental Assistants","7476",0.36094674556213
"352","Gavilan College","398",0.130805687203791
"353","Gemological Institute of America-Carlsbad","35455",0.11562370493162
"354","Glendale Community College","897",1.26126126126126
"355","Glendale Career College","9688",0.0815384615384615
"356","Golden Gate University-San Francisco","19757",0.108653378706855
"357","Golden West College","880",0.153083700440529
"358","Graduate Theological Union","6332",0.104102760736196
"359","Grossmont College","634",0.193979933110368
"360","Salon Success Academy-Riverside","3384",1.07312252964427
"361","Hartnell College","414",0.0731215330307615
"362","Harvey Mudd College","21107",25.3888888888889
"363","Heald College-Rancho Cordova","9392",0.283667621776504
"364","Heald College-Fresno","9942",0.49812734082397
"365","Heald College-San Jose","9763",0.121334100057504
"366","Heald College-San Francisco","9296",0.163771712158809
"367","Heald College-Concord","9821",0.119151251360174
"368","Hilltop Beauty School","1280",0.0250227479526843
"369","Holy Names University","14129",0.087103798693443
"370","Pacifica Graduate Institute","41816",0.103891125167721
"371","Humboldt State University","3838",0.0480852289087244
"372","Humphreys College-Stockton and Modesto Campuses","6718",0.106683804627249
"373","Imperial Valley College","335",0.071042471042471
"374","Institute for Business and Technology","10607",0.199626865671642
"375","LA College International","5449",0.302936630602782
"376","Interior Designers Institute","10211",0.0356833910034602
"377","Toni & Guy Hairdressing Academy-Santa Monica","9885",0.436144578313253
"378","Irvine Valley College","880",0.146911519198664
"379","ITT Technical Institute-National City","16582",0.146666666666667
"380","ITT Technical Institute-San Dimas","17062",0.112429087158329
"381","ITT Technical Institute-Orange","16753",0.174715909090909
"382","Bellus Academy-El Cajon","8260",0.161710037174721
"383","Jesuit School of Theology of Santa Clara University","16254",0.0832028191072827
"384","John F. Kennedy University","25544",0.0906728270285879
"385","American Jewish University","14636",0.133612204724409
"386","Reedley College","445",0.0635451505016722
"387","Life Pacific College","8410",0.0324270391618858
"388","Argosy University-The Art Institute of California-San Diego","17188",0.0685337726523888
"389","University of La Verne","15416",0.0853850183342064
